Artist,Country
Rodney Atkins,US
Juicy J,GB
Coldplay,GB
J. Cole,GB
3OH!3,US
Luis Fonsi,PR
David Archuleta,US
Diamond Rio,US
Ashlee Simpson,US
Soulja Boy Tell 'Em,US
Doja Cat,US
Billy Currington,US
Toby Keith,US
Travie McCoy,US
Eiffel 65,IT
Harry Styles,UK
Ella Mai,US
Justin Bieber,CA
Marc Anthony,DE
Green Day,US
Shaed,US
Bone Thugs-n-Harmony,US
Musiq Soulchild,US
BTS,KR
Charli Baltimore,US
Debelah Morgan,US
Travis Scott,US
Gente de Zona,CU
Bad Bunny,PR
Foxes,GB
Maren Morris,US
Pop Smoke,US
Dr. Dre,US
Big Tymers,US
Glass Animals,GB
Pharrell,US
Old Dominion,US
Michelle Branch,US
Jon Pardi,US
Shontelle,BB
Wanz,US
Young Jeezy,CA
Rae Sremmurd,US
Paramore,US
Faith Hill,US
070 Shake,US
Flipmode Squad,US
Lauren Alaina,US
Kygo,NO
Alex Band,US
Iann Dior,US
Childish Gambino,US
KONGOS,US
Randy Houser,US
JP Saxe,CA
Cole Swindell,US
Paul McCartney,GB
Hellogoodbye,US
Lil Phat,US
The Anxiety,GB
Rixton,UK
Gunna,US
Jack Harlow,US
Jo Dee Messina,US
3 Doors Down,US
Lauren Spencer-Smith,CA
The Black Eyed Peas,US
Lauren Daigle,US
2 Pistols,GB
Sean Paul,JM
Tones and I,AU
Meghan Trainor,US
Bobby Valentino,US
Olly Murs,GB
Wayne Wonder,US
Chencho Corleone,PR
Billie Eilish,US
Bastille,GB
Avril Lavigne,CA
Cobra Starship,US
Niall Horan,IE
Jnr Choi,GB
Colbie Caillat,US
Latto,US
Daniel Caesar,CA
Peso Pluma,MX
Zayn,UK
Gnash,US
Nicky Jam,US
PnB Rock,US
Kenny Chesney,US
Crime Mob,US
Vance Joy,AU
Jhay Cortez,AR
Nico & Vinz,NO
Cardi B,US
Maddie & Tae,US
Machine Gun Kelly,US
Mooski,US
The Veronicas,GB
Mr. Cheeks,US
Post Malone,US
The Killers,GB
Thrust,US
Cameo,US
Cheat Codes,US
Bravehearts,US
Lil Boosie,US
John Martin,US
the Weeknd,CA
